"","Rank","Titulo","Runtime","Genero","Director","Actor"
"1",1,"What Is Life Worth",118,"Biography","Sara Colangelo","Michael Keaton"
"2",2,"365 dni",114,"Drama","Barbara Bialowas","Anna Maria Sieklucka"
"3",3,"The Courier",112,"Drama","Dominic Cooke","Benedict Cumberbatch"
"4",4,"A Quiet Place Part II",97,"Drama","John Krasinski","Emily Blunt"
"5",5,"Tenet",150,"Action","Christopher Nolan","John David Washington"
"6",6,"News of the World",118,"Action","Paul Greengrass","Tom Hanks"
"7",7,"El padre",97,"Drama","Florian Zeller","Anthony Hopkins"
"8",8,"The Night House",107,"Horror","David Bruckner","Rebecca Hall"
"9",9,"Bad Candy",103,"Horror","Scott B. Hansen","Zach Galligan"
"10",10,"Promising Young Woman",113,"Crime","Emerald Fennell","Carey Mulligan"
"11",11,"Aves de presa y la fantabulosa emancipación de una Harley Quinn",109,"Action","Cathy Yan","Margot Robbie"
"12",12,"Boss Level",94,"Action","Joe Carnahan","Frank Grillo"
"13",13,"Love and Monsters",109,"Action","Michael Matthews","Dylan O'Brien"
"14",14,"Druk",117,"Comedy","Thomas Vinterberg","Mads Mikkelsen"
"15",15,"Wonder Woman 1984",151,"Action","Patty Jenkins","Gal Gadot"
"16",16,"BAC Nord",105,"Action","Cédric Jimenez","Gilles Lellouche"
"17",17,"Nomadland",107,"Drama","Chloé Zhao","Frances McDormand"
"18",18,"Retfærdighedens ryttere",116,"Action","Anders Thomas Jensen","Mads Mikkelsen"
"19",19,"Palm Springs",90,"Comedy","Max Barbakow","Andy Samberg"
"20",20,"The Witches",106,"Adventure","Robert Zemeckis","Anne Hathaway"
"21",21,"After We Collided",105,"Drama","Roger Kumble","Josephine Langford"
"22",22,"The Hunt",90,"Action","Craig Zobel","Betty Gilpin"
"23",23,"Freaky: Este cuerpo está para matar",102,"Comedy","Christopher Landon","Vince Vaughn"
"24",24,"Hamilton",160,"Biography","Thomas Kail","Lin-Manuel Miranda"
"25",25,"The Devil All the Time",138,"Crime","Antonio Campos","Tom Holland"
"26",26,"The Empty Man",137,"Horror","David Prior","James Badge Dale"
"27",27,"Monster Hunter",103,"Action","Paul W.S. Anderson","Milla Jovovich"
"28",28,"Greenland",119,"Action","Ric Roman Waugh","Gerard Butler"
"29",29,"Bill & Ted Face the Music",91,"Adventure","Dean Parisot","Keanu Reeves"
"30",30,"Four Good Days",100,"Drama","Rodrigo García","Glenn Close"
"31",31,"The King of Staten Island",136,"Comedy","Judd Apatow","Pete Davidson"
"32",32,"Soul",100,"Animation","Pete Docter","Jamie Foxx"
"33",33,"Zola",86,"Comedy","Janicza Bravo","Taylour Paige"
"34",34,"Los nuevos mutantes",94,"Action","Josh Boone","Maisie Williams"
"35",35,"Mulan",115,"Action","Niki Caro","Liu Yifei"
"36",36,"Let Him Go",113,"Crime","Thomas Bezucha","Diane Lane"
"37",37,"Minari",115,"Drama","Lee Isaac Chung","Steven Yeun"
"38",38,"The Old Ways",90,"Fantasy","Christopher Alender","Brigitte Kali Canales"
"39",39,"The Nowhere Inn",91,"Comedy","Bill Benz","Annie Clark"
"40",40,"Kimetsu no Yaiba: Mugen Ressha-Hen",117,"Animation","Haruo Sotozaki","Natsuki Hanae"
"41",41,"El jinete del dragón",91,"Animation","Tomer Eshed","Freddie Highmore"
"42",42,"I Care a Lot",118,"Comedy","J Blakeson","Rosamund Pike"
"43",43,"Bloodshot",109,"Action","Dave Wilson","Vin Diesel"
